auction_id,item_id,seller_id,final_price,num_bids,winner_id,auction_end_date
A00036,I00036,S00039,117.28,8,B00061,2024-12-09T18:00:00Z
A00037,I00037,S00002,150.45,14,B00091,2024-12-08T08:00:00Z
A00038,I00038,S00023,204.6,18,B00171,2024-12-23T08:00:00Z
A00039,I00039,S00025,152.47,13,B00062,2024-12-25T22:00:00Z
A00040,I00040,S00018,195.36,17,B00059,2024-12-05T16:00:00Z
A00041,I00041,S00018,230.34,19,B00009,2024-12-18T17:00:00Z
A00042,I00042,S00039,131.84,9,B00072,2025-01-03T03:00:00Z
A00043,I00043,S00004,158.57,13,B00011,2024-12-02T13:00:00Z
A00044,I00044,S00010,151.37,14,B00003,2025-01-08T09:00:00Z
A00045,I00045,S00035,204.16,13,B00032,2024-12-14T12:00:00Z
A00046,I00046,S00031,163.78,12,B00013,2024-12-16T17:00:00Z
A00047,I00047,S00035,91.44,10,B00133,2024-12-19T06:00:00Z
A00048,I00048,S00032,137.08,13,B00164,2025-01-01T22:00:00Z
A00049,I00049,S00037,227.60844272790848,22,B00097,2024-11-25T06:00:00Z
A00050,I00050,S00014,223.31476242004334,13,B00053,2024-12-10T14:00:00Z
A00051,I00051,S00039,204.39000000000001,18,B00010,2025-01-12T21:00:00Z
A00052,I00052,S00033,122.19,10,B00069,2024-12-10T17:00:00Z
A00053,I00053,S00015,195.89735332072152,16,B00090,2024-12-23T20:00:00Z
A00054,I00054,S00028,193.82000000000002,11,B00056,2024-12-09T20:00:00Z
A00055,I00055,S00039,82.73,7,B00014,2024-11-25T01:00:00Z
A00056,I00056,S00002,120.42,7,B00015,2025-01-09T01:00:00Z
A00057,I00057,S00024,212.06,16,B00027,2024-11-27T03:00:00Z
A00058,I00058,S00006,166.62,18,B00083,2025-01-09T19:00:00Z
A00059,I00059,S00018,152.98,11,B00147,2024-11-25T21:00:00Z
A00060,I00060,S00018,145.59,18,B00089,2024-12-28T06:00:00Z
A00061,I00061,S00003,159.17,10,B00014,2025-01-05T18:00:00Z
A00062,I00062,S00034,132.01,8,B00141,2024-11-22T15:00:00Z
A00063,I00063,S00007,220.5,11,B00021,2025-01-01T08:00:00Z
A00064,I00064,S00001,268.28000000000003,17,B00066,2024-12-18T00:00:00Z
A00065,I00065,S00009,185.47,7,B00047,2024-11-27T03:00:00Z
A00066,I00066,S00003,147.46,9,B00085,2025-01-08T04:00:00Z
A00067,I00067,S00028,185.09,11,B00067,2024-12-18T23:00:00Z
A00068,I00068,S00030,166.87,10,B00138,2025-01-11T03:00:00Z
A00069,I00069,S00023,186.64,8,B00107,2024-11-28T08:00:00Z
A00070,I00070,S00009,213.55,16,B00070,2025-01-02T22:00:00Z
A00071,I00071,S00029,116.18,7,B00072,2024-12-18T01:00:00Z
A00072,I00072,S00039,159.29999999999998,12,B00004,2024-11-21T04:00:00Z
A00073,I00073,S00033,105.32,7,B00125,2024-11-26T00:00:00Z
A00074,I00074,S00029,199.44,18,B00149,2025-01-05T20:00:00Z
A00075,I00075,S00019,214.29,15,B00027,2024-11-24T03:00:00Z
A00076,I00076,S00021,207.41000000000003,11,B00104,2025-01-07T13:00:00Z
A00077,I00077,S00009,94.48,8,B00037,2024-12-01T14:00:00Z
A00078,I00078,S00015,111.15,12,B00053,2024-12-07T06:00:00Z
A00079,I00079,S00040,147.46,12,B00053,2025-01-02T18:00:00Z
A00080,I00080,S00005,118.32000000000001,10,B00170,2025-01-03T04:00:00Z
A00081,I00081,S00013,191.73,9,B00020,2024-11-29T06:00:00Z
A00082,I00082,S00024,184.85999999999999,14,B00172,2024-12-23T02:00:00Z
A00083,I00083,S00004,123.22999999999999,7,B00040,2024-12-25T22:00:00Z
A00084,I00084,S00031,190.34,17,B00006,2024-12-06T15:00:00Z
A00085,I00085,S00040,97.85000000000001,7,B00072,2024-12-23T23:00:00Z
A00086,I00086,S00009,248.11936536910014,15,B00013,2025-01-06T13:00:00Z
A00087,I00087,S00005,117.91,8,B00161,2024-12-31T02:00:00Z
A00088,I00088,S00028,157.03931907466986,15,B00171,2024-11-29T03:00:00Z
A00089,I00089,S00011,165.54,9,B00075,2024-12-02T00:00:00Z
A00090,I00090,S00003,113.86,8,B00010,2025-01-02T18:00:00Z
A00091,I00091,S00014,309.84857388238424,22,B00098,2024-12-18T06:00:00Z
A00092,I00092,S00036,124.55,10,B00076,2024-11-22T06:00:00Z
A00093,I00093,S00031,227,15,B00120,2024-12-31T17:00:00Z
A00094,I00094,S00013,176.37,8,B00018,2024-12-02T01:00:00Z
A00095,I00095,S00026,237.37,14,B00163,2024-12-17T01:00:00Z
A00096,I00096,S00011,283.13,14,B00072,2024-12-26T06:00:00Z
A00097,I00097,S00022,154.87,7,B00007,2024-11-26T09:00:00Z
A00098,I00098,S00026,164.25,18,B00099,2024-12-18T19:00:00Z
A00099,I00099,S00006,143.17000000000002,7,B00156,2025-01-08T06:00:00Z
A00100,I00100,S00012,214.87,14,B00147,2025-01-01T13:00:00Z
A00101,I00101,S00026,243.27266799117626,17,B00036,2024-12-23T14:00:00Z
A00102,I00102,S00030,159.27,14,B00053,2025-01-01T06:00:00Z
A00103,I00103,S00013,107.09,8,B00052,2025-01-06T11:00:00Z
A00104,I00104,S00027,80.12,7,B00087,2025-01-08T18:00:00Z
A00105,I00105,S00033,280.53,16,B00162,2025-01-04T21:00:00Z
A00106,I00106,S00034,170.59,19,B00144,2025-01-08T08:00:00Z
A00107,I00107,S00026,168.9,17,B00038,2024-12-31T03:00:00Z
A00108,I00108,S00004,121.27,12,B00073,2024-12-17T08:00:00Z
A00109,I00109,S00014,196.52,14,B00063,2024-12-22T07:00:00Z
A00110,I00110,S00014,167.38,13,B00076,2024-11-21T00:00:00Z
A00111,I00111,S00039,225.13,18,B00102,2024-12-29T21:00:00Z
A00112,I00112,S00025,189.87,15,B00074,2024-11-30T09:00:00Z
A00113,I00113,S00034,132.95,8,B00083,2025-01-08T13:00:00Z
A00114,I00114,S00032,260,18,B00150,2024-12-01T03:00:00Z
A00115,I00115,S00003,169.68,7,B00134,2024-12-13T08:00:00Z
A00116,I00116,S00019,270.54,19,B00002,2024-12-04T02:00:00Z
A00117,I00117,S00025,130.14000000000001,8,B00138,2024-12-13T01:00:00Z
A00118,I00118,S00036,160.73,7,B00071,2025-01-13T07:00:00Z
A00119,I00119,S00029,292.2611291482905,23,B00165,2024-12-03T21:00:00Z
A00120,I00120,S00033,83.71000000000001,10,B00144,2025-01-07T11:00:00Z
A00121,I00121,S00017,167.41,13,B00149,2024-12-30T17:00:00Z
A00122,I00122,S00031,216.35999999999999,18,B00169,2024-12-26T02:00:00Z
A00123,I00123,S00025,206.23999999999998,13,B00082,2025-01-08T19:00:00Z
A00124,I00124,S00020,229.54,15,B00101,2024-11-30T17:00:00Z
A00125,I00125,S00006,181.2,8,B00115,2024-11-25T05:00:00Z
A00126,I00126,S00003,264.21999999999997,16,B00159,2024-12-20T04:00:00Z
A00127,I00127,S00010,244,15,B00101,2024-11-29T14:00:00Z
A00128,I00128,S00022,131.74,13,B00179,2024-12-10T02:00:00Z
A00129,I00129,S00033,175.76999999999998,9,B00068,2024-12-18T22:00:00Z
A00130,I00130,S00023,259.37,19,B00177,2024-11-27T00:00:00Z
A00131,I00131,S00017,110.86,8,B00152,2024-12-23T03:00:00Z
A00132,I00132,S00025,241.58999999999997,13,B00170,2024-12-16T23:00:00Z
A00133,I00133,S00011,166.07,18,B00065,2024-11-29T02:00:00Z
A00134,I00134,S00018,172.46,8,B00039,2024-11-24T23:00:00Z
A00135,I00135,S00004,133.09,15,B00174,2024-12-02T05:00:00Z
A00136,I00136,S00004,234.92000000000002,14,B00112,2024-12-30T18:00:00Z
A00137,I00137,S00006,263.92,19,B00143,2024-12-05T12:00:00Z
A00138,I00138,S00022,118.93,12,B00114,2024-12-25T15:00:00Z
A00139,I00139,S00022,206.35999999999999,15,B00004,2024-12-13T10:00:00Z
A00140,I00140,S00006,308.55,18,B00106,2024-12-17T14:00:00Z
A00141,I00141,S00008,166.64,16,B00055,2024-12-15T19:00:00Z
A00142,I00142,S00033,153.06,17,B00017,2024-12-19T12:00:00Z
A00143,I00143,S00024,152.46,9,B00162,2024-11-25T06:00:00Z
A00144,I00144,S00032,249.44,15,B00061,2024-12-28T05:00:00Z
A00145,I00145,S00022,191.67000000000002,15,B00067,2025-01-08T08:00:00Z
A00146,I00146,S00040,277.87,18,B00030,2024-12-19T21:00:00Z
A00147,I00147,S00008,195.57,13,B00068,2025-01-12T13:00:00Z
A00148,I00148,S00040,128.84,9,B00008,2024-12-14T09:00:00Z
A00149,I00149,S00034,224.13,10,B00134,2024-11-22T22:00:00Z
A00150,I00150,S00020,162.6,10,B00174,2025-01-04T10:00:00Z
A00151,I00151,S00002,254.72,12,B00162,2024-12-22T06:00:00Z
A00152,I00152,S00028,252.98777471596372,18,B00180,2025-01-01T12:00:00Z
A00153,I00153,S00021,180.58,10,B00131,2024-12-05T19:00:00Z
A00154,I00154,S00022,141.52,7,B00169,2024-11-23T10:00:00Z
A00155,I00155,S00032,257.45,15,B00091,2024-12-01T16:00:00Z
A00156,I00156,S00020,188.86,14,B00179,2024-12-25T10:00:00Z
A00157,I00157,S00016,120.01,9,B00019,2024-11-25T17:00:00Z
A00158,I00158,S00005,293.91,18,B00159,2024-12-03T11:00:00Z
A00159,I00159,S00007,206.04999999999998,11,B00140,2025-01-02T14:00:00Z
A00160,I00160,S00022,211.57,13,B00019,2024-12-10T21:00:00Z
A00161,I00161,S00039,189.60999999999999,14,B00136,2024-11-25T03:00:00Z
A00162,I00162,S00007,75.69,10,B00019,2024-12-23T05:00:00Z
A00163,I00163,S00027,178.41,19,B00044,2025-01-10T11:00:00Z
A00164,I00164,S00008,178.9830938135367,12,B00021,2024-12-10T03:00:00Z
A00165,I00165,S00027,168.4340404430246,19,B00071,2024-12-06T18:00:00Z
A00166,I00166,S00001,158.69,13,B00018,2024-11-28T21:00:00Z
A00167,I00167,S00027,185.7616921428675,11,B00025,2025-01-02T11:00:00Z
A00168,I00168,S00019,243.35,17,B00020,2024-12-29T01:00:00Z
A00169,I00169,S00021,94.88,11,B00077,2024-12-17T19:00:00Z
A00170,I00170,S00038,92.51,9,B00109,2025-01-09T02:00:00Z
A00171,I00171,S00003,194.31,18,B00143,2024-11-29T14:00:00Z
A00172,I00172,S00003,222.98,17,B00043,2024-12-11T04:00:00Z
A00173,I00173,S00004,175.43,11,B00064,2024-12-15T11:00:00Z
A00174,I00174,S00006,95.03,9,B00156,2024-11-25T17:00:00Z
A00175,I00175,S00011,193.9,10,B00104,2024-12-23T05:00:00Z
A00176,I00176,S00022,124.03,15,B00045,2024-12-29T13:00:00Z
A00177,I00177,S00025,296.39,18,B00087,2024-12-31T01:00:00Z
A00178,I00178,S00027,61.35,8,B00107,2024-12-24T06:00:00Z
A00179,I00179,S00001,154.19,8,B00149,2024-11-21T03:00:00Z
A00180,I00180,S00001,208.1,18,B00124,2024-11-25T00:00:00Z
A00181,I00181,S00005,152.99,11,B00105,2024-12-09T09:00:00Z
A00182,I00182,S00031,184.0548867990766,18,B00055,2024-12-09T21:00:00Z
A00183,I00183,S00019,246.36049885869025,24,B00123,2024-12-27T20:00:00Z
A00184,I00184,S00028,254.22,16,B00044,2024-12-26T03:00:00Z
A00185,I00185,S00002,256.64,19,B00046,2024-12-15T20:00:00Z
A00186,I00186,S00013,189.47,16,B00114,2024-12-16T08:00:00Z
A00187,I00187,S00029,265.35,19,B00112,2024-12-28T12:00:00Z
A00188,I00188,S00028,239.92000000000002,19,B00038,2024-12-20T09:00:00Z
A00189,I00189,S00022,214.49,11,B00153,2024-12-14T00:00:00Z
A00190,I00190,S00010,270.3,16,B00029,2024-12-21T20:00:00Z
A00191,I00191,S00002,144.72,15,B00042,2024-12-06T00:00:00Z
A00192,I00192,S00015,212.13917641413397,15,B00079,2024-11-22T10:00:00Z
A00193,I00193,S00031,151.89,16,B00135,2025-01-02T14:00:00Z
A00194,I00194,S00038,225.34,16,B00076,2024-12-23T23:00:00Z
A00195,I00195,S00025,323.57,19,B00102,2025-01-09T10:00:00Z
A00196,I00196,S00039,179.07,17,B00112,2024-12-10T10:00:00Z
A00197,I00197,S00035,74.17,7,B00009,2025-01-07T03:00:00Z
A00198,I00198,S00036,166.48,19,B00034,2024-12-07T03:00:00Z
A00199,I00199,S00005,147.99,12,B00094,2024-12-21T15:00:00Z
A00200,I00200,S00014,171.48,10,B00031,2024-12-01T23:00:00Z
A00201,I00201,S00027,71.54,7,B00153,2024-12-27T19:00:00Z
A00202,I00202,S00026,148.06,14,B00064,2024-11-28T10:00:00Z
A00203,I00203,S00027,199.47212538313863,17,B00047,2024-12-09T09:00:00Z
A00204,I00204,S00040,171.94,10,B00099,2024-12-07T15:00:00Z
A00205,I00205,S00021,168.95,17,B00150,2024-12-27T20:00:00Z
A00206,I00206,S00004,144.64000000000001,12,B00063,2024-12-02T06:00:00Z
A00207,I00207,S00008,163.21100197583436,18,B00043,2024-12-08T22:00:00Z
A00208,I00208,S00007,129.81,11,B00032,2024-12-21T12:00:00Z
A00209,I00209,S00035,219.55667868107278,22,B00172,2024-12-20T11:00:00Z
A00210,I00210,S00033,130.51,14,B00009,2025-01-12T10:00:00Z
A00211,I00211,S00038,202.08,19,B00002,2024-11-26T16:00:00Z
A00212,I00212,S00027,133.48,13,B00128,2025-01-05T03:00:00Z
A00213,I00213,S00039,237.02,18,B00118,2025-01-02T07:00:00Z
A00214,I00214,S00031,114.71,14,B00179,2024-12-15T17:00:00Z
A00215,I00215,S00024,150.96,11,B00045,2024-12-10T18:00:00Z
A00216,I00216,S00035,121.02,9,B00081,2024-11-26T08:00:00Z
A00217,I00217,S00030,132.29,12,B00139,2024-12-18T13:00:00Z
A00218,I00218,S00036,143.99,13,B00169,2024-12-15T16:00:00Z
A00219,I00219,S00017,224.63,18,B00102,2024-11-26T15:00:00Z
A00220,I00220,S00036,186.03,11,B00177,2024-11-26T19:00:00Z
A00221,I00221,S00006,150.65,18,B00057,2024-11-24T01:00:00Z
A00222,I00222,S00029,173.5,14,B00060,2024-11-24T19:00:00Z
A00223,I00223,S00003,178.94,15,B00133,2024-12-21T07:00:00Z
A00224,I00224,S00018,136.46,12,B00023,2024-12-08T14:00:00Z
A00225,I00225,S00032,122.22,15,B00104,2024-12-05T12:00:00Z
A00226,I00226,S00019,87.14,12,B00127,2024-12-13T20:00:00Z
A00227,I00227,S00015,147.01,14,B00131,2025-01-08T11:00:00Z
A00228,I00228,S00028,157.96,15,B00165,2025-01-08T19:00:00Z
A00229,I00229,S00022,159.91,19,B00077,2024-12-04T08:00:00Z
A00230,I00230,S00020,234.21,18,B00057,2024-12-05T12:00:00Z
A00231,I00231,S00003,190.83,13,B00172,2024-12-28T02:00:00Z
A00232,I00232,S00005,264.16,19,B00154,2024-11-28T17:00:00Z
A00233,I00233,S00028,257.79,12,B00090,2024-12-26T07:00:00Z
A00234,I00234,S00013,163.29,18,B00114,2025-01-05T01:00:00Z
A00235,I00235,S00024,196.09,8,B00088,2024-12-11T09:00:00Z
A00236,I00236,S00007,69.7,8,B00070,2024-12-25T11:00:00Z
A00237,I00237,S00027,112.55,9,B00112,2024-12-20T10:00:00Z
A00238,I00238,S00034,176.72,13,B00167,2024-12-23T00:00:00Z
A00239,I00239,S00017,175.69,7,B00177,2024-11-30T23:00:00Z
A00240,I00240,S00028,76.61,9,B00157,2024-12-02T02:00:00Z
A00241,I00241,S00002,248.94,18,B00152,2024-11-20T03:00:00Z
A00242,I00242,S00032,303.87,18,B00037,2024-12-20T20:00:00Z
A00243,I00243,S00038,268.77,17,B00049,2024-12-03T15:00:00Z
A00244,I00244,S00013,177.41,13,B00163,2025-01-05T01:00:00Z
A00245,I00245,S00039,253.89,19,B00019,2024-12-26T01:00:00Z
A00246,I00246,S00015,196.07,11,B00022,2025-01-12T12:00:00Z
A00247,I00247,S00024,93.98,9,B00098,2025-01-03T20:00:00Z
A00248,I00248,S00001,100.74,7,B00094,2024-12-22T22:00:00Z
A00249,I00249,S00010,190.56,13,B00073,2025-01-04T20:00:00Z
A00250,I00250,S00009,284.77,15,B00010,2024-12-15T17:00:00Z
A00251,I00251,S00012,147.49,8,B00107,2024-12-24T10:00:00Z
A00252,I00252,S00035,129.89,11,B00064,2024-12-29T01:00:00Z
A00253,I00253,S00016,132.55,15,B00069,2024-12-16T05:00:00Z
A00254,I00254,S00020,198.88,14,B00026,2024-12-04T07:00:00Z
A00255,I00255,S00022,231.32,18,B00071,2024-12-30T11:00:00Z
A00256,I00256,S00012,154.6,11,B00064,2025-01-13T22:00:00Z
A00257,I00257,S00008,188.4349884285703,19,B00020,2024-11-25T11:00:00Z
A00258,I00258,S00030,184.18,8,B00070,2024-12-13T07:00:00Z
A00259,I00259,S00017,108.91,8,B00018,2024-12-06T13:00:00Z
A00260,I00260,S00014,125.74,17,B00059,2024-12-03T18:00:00Z
A00261,I00261,S00024,223.43,15,B00096,2025-01-06T16:00:00Z
A00262,I00262,S00022,178.91,7,B00119,2024-12-24T19:00:00Z
A00263,I00263,S00005,203.04,14,B00058,2024-12-11T12:00:00Z
A00264,I00264,S00018,201.96,17,B00103,2024-12-15T14:00:00Z
A00265,I00265,S00017,275.45,15,B00019,2024-12-08T12:00:00Z
A00266,I00266,S00030,210.82,18,B00053,2024-12-19T02:00:00Z
A00267,I00267,S00027,227.59,12,B00171,2025-01-08T21:00:00Z
A00268,I00268,S00040,111.39,10,B00078,2025-01-03T06:00:00Z
A00269,I00269,S00031,180.88,16,B00144,2024-12-07T17:00:00Z
A00270,I00270,S00038,98.42,9,B00124,2024-12-27T17:00:00Z
A00271,I00271,S00004,175.31,10,B00065,2024-12-28T08:00:00Z
A00272,I00272,S00032,49.82,7,B00095,2024-12-15T12:00:00Z
A00273,I00273,S00022,243.31,16,B00150,2024-12-21T10:00:00Z
A00274,I00274,S00014,62.61,8,B00119,2024-12-20T11:00:00Z
A00275,I00275,S00005,93.08,7,B00128,2024-12-24T05:00:00Z
A00276,I00276,S00022,244.03,19,B00053,2025-01-08T04:00:00Z
A00277,I00277,S00037,167.86,7,B00011,2024-12-31T04:00:00Z
A00278,I00278,S00035,282.3,17,B00164,2024-12-28T01:00:00Z
A00279,I00279,S00014,142.87,10,B00042,2024-12-29T19:00:00Z
A00280,I00280,S00037,178.54999999999998,9,B00119,2025-01-10T22:00:00Z
A00281,I00281,S00038,170.5,12,B00129,2024-12-16T22:00:00Z
A00282,I00282,S00036,154.28,15,B00103,2024-12-07T03:00:00Z
A00283,I00283,S00020,96.03999999999999,7,B00008,2025-01-07T04:00:00Z
A00284,I00284,S00027,129.9861821689587,10,B00055,2024-12-18T02:00:00Z
A00285,I00285,S00003,249.79,19,B00133,2024-11-25T15:00:00Z
A00286,I00286,S00029,243.23000000000002,13,B00050,2024-12-25T07:00:00Z
A00287,I00287,S00008,115.39,10,B00069,2024-12-21T21:00:00Z
A00288,I00288,S00014,213.81213396178185,16,B00111,2024-11-25T14:00:00Z
A00289,I00289,S00034,184.71,14,B00001,2025-01-11T11:00:00Z
A00290,I00290,S00029,245.51,17,B00178,2024-11-24T01:00:00Z
A00291,I00291,S00029,135.47,8,B00139,2024-12-10T07:00:00Z
A00292,I00292,S00018,208.65,15,B00039,2024-11-24T22:00:00Z
A00293,I00293,S00017,205.68,9,B00016,2024-11-30T13:00:00Z
A00294,I00294,S00014,154.85307975786924,20,B00153,2025-01-10T11:00:00Z
A00295,I00295,S00032,296.66,19,B00156,2024-12-02T06:00:00Z
A00296,I00296,S00016,283.96999999999997,18,B00178,2024-12-30T22:00:00Z
A00297,I00297,S00010,238.59,16,B00060,2025-01-03T00:00:00Z
A00298,I00298,S00011,193.75,10,B00052,2024-12-03T17:00:00Z
A00299,I00299,S00011,171.51,15,B00104,2024-12-08T13:00:00Z
A00300,I00300,S00012,107.19,14,B00123,2024-12-11T07:00:00Z
A00301,I00301,S00008,195.94,12,B00060,2024-12-06T22:00:00Z
A00302,I00302,S00028,161.36999257542192,12,B00051,2024-12-18T18:00:00Z
A00303,I00303,S00035,177.7,10,B00148,2024-12-06T21:00:00Z
A00304,I00304,S00029,137.93,9,B00163,2025-01-11T12:00:00Z
A00305,I00305,S00011,237.17,16,B00069,2024-12-01T20:00:00Z
A00306,I00306,S00038,198.19,19,B00029,2024-12-15T00:00:00Z
A00307,I00307,S00034,120.24,9,B00132,2025-01-14T07:00:00Z
A00308,I00308,S00025,152.73,7,B00132,2024-12-05T10:00:00Z
A00309,I00309,S00003,204.4,10,B00070,2024-11-24T16:00:00Z
A00310,I00310,S00026,144.29012628247403,15,B00066,2024-12-03T03:00:00Z
A00311,I00311,S00015,235.32,17,B00005,2024-12-15T19:00:00Z
A00312,I00312,S00026,146.59,13,B00079,2025-01-10T20:00:00Z
A00313,I00313,S00035,258.94401007290185,16,B00110,2025-01-01T08:00:00Z
A00314,I00314,S00035,126.49,13,B00064,2024-12-29T08:00:00Z
A00315,I00315,S00033,145.53,7,B00087,2024-12-17T08:00:00Z
A00316,I00316,S00031,126.15879440310225,11,B00163,2024-12-05T06:00:00Z
A00317,I00317,S00023,146,12,B00083,2024-12-04T10:00:00Z
A00318,I00318,S00025,277.13,19,B00105,2024-12-26T09:00:00Z
A00319,I00319,S00016,185.03,16,B00124,2024-12-26T05:00:00Z
A00320,I00320,S00026,241.27,16,B00113,2025-01-07T06:00:00Z
A00321,I00321,S00022,176.31,15,B00052,2024-12-29T05:00:00Z
A00322,I00322,S00010,203.26,11,B00013,2024-12-19T13:00:00Z
A00323,I00323,S00039,296.18,19,B00150,2025-01-02T10:00:00Z
A00324,I00324,S00027,136.54088321317732,15,B00047,2025-01-03T17:00:00Z
A00325,I00325,S00026,140.73,9,B00017,2024-12-01T18:00:00Z
A00326,I00326,S00019,223.62,16,B00174,2024-12-14T10:00:00Z
A00327,I00327,S00031,208.77313660350444,23,B00149,2024-12-17T00:00:00Z
A00328,I00328,S00011,95.12,10,B00159,2024-12-10T18:00:00Z
A00329,I00329,S00024,110.18,10,B00119,2024-12-19T07:00:00Z
A00330,I00330,S00006,179.51000000000002,10,B00002,2024-12-13T05:00:00Z
A00331,I00331,S00021,103.44,9,B00148,2024-12-25T09:00:00Z
A00332,I00332,S00012,213.54,15,B00142,2024-12-09T19:00:00Z
A00333,I00333,S00006,163.45,13,B00168,2024-12-02T07:00:00Z
A00334,I00334,S00018,130.09,16,B00106,2024-12-08T18:00:00Z
A00335,I00335,S00033,109.43,8,B00083,2024-12-01T07:00:00Z
A00336,I00336,S00024,141.89000000000001,10,B00063,2024-12-17T13:00:00Z
A00337,I00337,S00003,249.90819395339486,13,B00074,2024-12-31T19:00:00Z
A00338,I00338,S00024,190.92,8,B00091,2025-01-09T03:00:00Z
A00339,I00339,S00040,213.82,16,B00145,2024-12-02T13:00:00Z
A00340,I00340,S00008,112.26,8,B00077,2024-12-01T00:00:00Z
A00341,I00341,S00033,155.93,16,B00073,2025-01-05T14:00:00Z
A00342,I00342,S00035,141.3,16,B00108,2024-12-30T21:00:00Z
A00343,I00343,S00009,106.71,11,B00090,2024-12-16T06:00:00Z
A00344,I00344,S00016,198.42,15,B00033,2025-01-05T18:00:00Z
A00345,I00345,S00031,225.85999999999999,16,B00044,2025-01-06T00:00:00Z
A00346,I00346,S00007,297.6,19,B00103,2025-01-11T10:00:00Z
A00347,I00347,S00034,194.23,7,B00104,2025-01-03T10:00:00Z
A00348,I00348,S00033,117.10000000000001,9,B00143,2024-12-10T18:00:00Z
A00349,I00349,S00031,175.85503405377924,21,B00031,2024-12-14T05:00:00Z
A00350,I00350,S00021,222.81,9,B00031,2024-12-04T19:00:00Z
A00351,I00351,S00020,125.35000000000001,17,B00123,2024-11-23T11:00:00Z
A00352,I00352,S00009,128.89,9,B00076,2024-11-23T02:00:00Z
A00353,I00353,S00026,257.52,17,B00148,2024-12-05T23:00:00Z
A00354,I00354,S00015,161.13,18,B00095,2024-12-24T12:00:00Z
A00355,I00355,S00007,242.74,11,B00101,2024-11-24T20:00:00Z
A00356,I00356,S00026,208.43,18,B00158,2024-11-22T15:00:00Z
A00357,I00357,S00028,249.61878706525638,23,B00005,2024-11-29T05:00:00Z
A00358,I00358,S00040,130.84,7,B00031,2024-12-01T16:00:00Z
A00359,I00359,S00028,124.92,15,B00082,2024-12-15T23:00:00Z
A00360,I00360,S00005,237.94,19,B00046,2024-12-21T14:00:00Z
A00361,I00361,S00001,260.11,18,B00155,2024-12-28T15:00:00Z
A00362,I00362,S00035,192.88,11,B00029,2024-12-21T00:00:00Z
A00363,I00363,S00019,174.62,11,B00068,2024-12-24T10:00:00Z
A00364,I00364,S00004,205.45,12,B00074,2024-12-09T03:00:00Z
A00365,I00365,S00030,129.02,14,B00124,2024-11-21T10:00:00Z
A00366,I00366,S00011,197.63,16,B00177,2024-12-12T20:00:00Z
A00367,I00367,S00038,129.82,13,B00060,2025-01-07T11:00:00Z
A00368,I00368,S00029,164.08,10,B00023,2024-11-22T13:00:00Z
A00369,I00369,S00019,200.98000000000002,10,B00119,2024-12-16T21:00:00Z
